Date;Name;Type;Open_price;Value;Close_price;Reasons;Step;Step_price;Delta
16.февр;BTC;шорт;43 220,00;1;42 596,00;закрыл вручную;1;0,1;62,4
19.февр;BTC;шорт;40 345,00;1;38 462,00;stop;1;0,1;188,3
20.февр;BTC;шорт;38 392,00;1;38 462,00;stop;1;0,1;-7
21.февр;BNB;шорт;382;1;385;stop;1;1;-3
21.февр;BTC;шорт;37 900,00;1;36 576,00;закрыл вручную;1;0,1;132,4
21.февр;BNB;шорт;369,2;1;351,8;закрыл вручную;1;1;17,4
22.февр;BTC;шорт;36 495,00;1;36915;stop;1;0,1;-42
22.февр;BNB;шорт;351,8;1;361,1;stop;1;1;-9,3
22.февр;ETH;шорт;2 515,00;1;2582;stop;1;0,2;-13,4
22.февр;ETH;шорт;2 515,00;1;2582;stop;1;0,2;-13,4
22.февр;BTC;шорт;37 498,00;1;37864;stop;1;0,1;-36,6
22.февр;ETH;шорт;2 590,00;1;2621;stop;1;0,2;-6,2
22.февр;ETH;шорт;2 590,00;1;2621;stop;1;0,2;-6,2
22.февр;BNB;шорт;364,1;1;367,5;stop;1;1;-3,4
22.февр;BTC;шорт;35 602,00;1;34621;take;1;0,1;98,1
22.февр;ETH;шорт;2 379,00;1;2419;take;1;0,2;-8
22.февр;ETH;шорт;2 379,00;1;2419;take;1;0,2;-8
22.февр;BNB;шорт;338;1;343;take;1;1;-5
22.февр;BTC;шорт;39 478,00;1;39027;take;1;0,1;45,1
