Date;Name;Type;Open_price;Value;Close_price;Reasons;Step;Step_price;Delta
02.09.2022;BTC;шорт;19 822,00;1;20100;stop;1;0,04;-11,12
03.09.2022;ETH;шорт;1 553,10;1;1577;stop;1;0,5;-11,95
04.09.2022;ETH;шорт;1 563,00;1;1589;stop;1;0,5;-13
09.09.2022;BTC;шорт;19 800,00;1;20569,5;stop;1;0,01;-7,695
09.09.2022;BTC;шорт;20 170,00;1;20569,5;stop;1;0,01;-3,995
09.09.2022;BTC;шорт;20 120,00;1;20569,5;stop;1;0,01;-4,495
09.09.2022;ETH;шорт;1 670,00;1;1740;stop;1;0,2;-14
10.09.2022;BTC;шорт;21 180,00;1;21683,5;stop;1;0,03;-15,105
10.09.2022;ETH;шорт;1 717,00;1;1748,35;stop;1;0,3;-9,405
12.09.2022;ETH;шорт;1 726,00;1;1594,35;stop;1;0,3;39,495
12.09.2022;BTC;шорт;21 650,00;1;22500;stop;1;0,03;-25,5
14.09.2022;BTC;лонг;20 150,00;1;19759,5;stop;1;0,03;-11,715
14.09.2022;ETH;лонг;1576;1;1573,5;stop;1;0,3;-0,75
15.09.2022;ETH;лонг;1575;1;1585;hands;1;0,3;3
15.09.2022;ETH;лонг;1571;1;1535;stop;1;0,3;-10,8
16.09.2022;BTC;лонг;19600;1;19587,5;stop;1;0,03;-0,375
19.09.2022;BTC;лонг;19509,5;1;19330;stop;1;0,03;-5,385
19.09.2022;BTC;шорт;19296,5;1;19441;stop;1;0,03;-4,335
19.09.2022;ETH;шорт;1356,9;1;1361;stop;1;0,3;-1,23
19.09.2022;ETH;лонг;1349,1;1;1325;stop;1;0,3;-7,23
28.09.2022;BTC;лонг;18974;1;19260,5;hands;1;0,03;8,595
28.09.2022;BTC;шорт;19890;1;20125;stop;1;0,03;-7,05
04.10.2022;BTC;шорт;20070;1;20350;stop;1;0,03;-8,4
04.10.2022;BTC;шорт;20000;1;20350;stop;1;0,03;-10,5
08.10.2022;BTC;лонг;19440;1;19262,5;stop;1;0,03;-5,325
10.10.2022;BTC;лонг;19254,5;1;19096,5;stop;1;0,03;-4,74
13.10.2022;BTC;лонг;18667,5;1;18530;stop;1;0,03;-4,125
13.10.2022;BTC;шорт;19425,5;1;19670;stop;1;0,03;-7,335
17.10.2022;BTC;шорт;19474,5;1;19276,5;take;1;0,03;5,94
19.10.2022;BTC;лонг;19350;1;19210;stop;1;0,03;-4,2
19.10.2022;BTC;лонг;19420;1;19210;stop;1;0,03;-6,3
26.10.2022;BTC;лонг;20639;1;20708;stop;1;0,03;2,07
02.11.2022;BTC;шорт;20130;1;20905;stop;1;0,02;-15,5
02.11.2022;BTC;шорт;20330;1;20905;stop;1;0,02;-11,5
04.11.2022;BTC;шорт;21021;1;21400;stop;1;0,033;-12,507
05.11.2022;BTC;шорт;21394,5;1;20880;take;1;0,02;10,29
07.11.2022;BTC;лонг;20630;1;20475,5;stop;1;0,02;-3,09
07.11.2022;BTC;лонг;20660;1;20475,5;stop;1;0,02;-3,69
08.11.2022;BTC;лонг;19600;1;16955;take;1;0,02;-52,9
08.11.2022;BTC;лонг;19550;1;16955;take;1;0,02;-51,9
11.11.2022;BTC;лонг;17000;1;15803;stop;1;0,01;-11,97
11.11.2022;BTC;лонг;16700;1;15803;stop;1;0,01;-8,97
11.11.2022;BTC;лонг;16950;1;15803;stop;1;0,02;-22,94
