Date;Name;Type;Open_price;Value;Close price;Reasons;Step;Step price;Delta;Total
15.01.2022;BRH2022;лонг;85,65;1;88,00;переложил позицию;0,01;7,61;1788,24;101788,24
15.01.2022;LKH2022;лонг;67491,00;1;65740,00;собственное решение;1;1;-1751;100037,24
15.01.2022;MXH2022;лонг;368075,00;1;351600,00; Не опытность;1;1;-16475;83562,24
19.01.2022;RIH2022;лонг;141730,00;1;141400,00;выбило по стопу;10;15,3;-504,9;83057,34
19.01.2022;GDH2022;лонг;1843,00;1;1838,00;выбило по стопу;1;76,21;-381,05;82676,29
20.01.2022;BRH2022;шорт;88,00;1;87,00; Тейк;0,01;7,61;760,95;83437,24
20.01.2022;BRH2022;шорт;88,00;1;86,10; Тейк;0,01;7,61;1445,81;84883,05
20.01.2022;BRH2022;шорт;88,00;1;85,70; Тейк;0,01;7,61;1750,19;86633,24
20.01.2022;RIH2022;лонг;143670,00;1;145500,00;Тейк;10;15,3;2799,9;89433,14
20.01.2022;RIH2022;шорт;143650,00;1;142700,00;Дивергенция,ставка на повышение;10;15,3;1453,5;90886,64
21.01.2022;RIH2022;лонг;142700,00;1;140340,00;Выбило по стопу;10;15,3;-3610,8;87275,84
21.01.2022;RIH2022;шорт;139370,00;1;132900,00;Выбило по стопу;10;15,3;9899,1;97174,94
21.01.2022; SIH2022;шорт;78439,00;1;78177,00;переложил на лонг;1;1;262;97436,94
24.01.2022; SIH2022;лонг;78177,00;1;78550,00; Тейк;1;1;373;97809,94
24.01.2022; SIH2022;лонг;78177,00;1;78850,00; Тейк;1;1;673;98482,94
24.01.2022; SIH2022;лонг;78177,00;1;79300,00; Тейк;1;1;1123;99605,94
24.01.2022;RIH2022;шорт;131500,00;1;132200,00;Выбило по стопу;10;15,3;-1071;98534,94
24.01.2022;RIH2022;шорт;131500,00;1;132200,00;Выбило по стопу;10;15,3;-1071;97463,94
24.01.2022;RIH2022;шорт;131500,00;1;126600,00; Тейк;10;15,3;7497;104960,94
24.01.2022;RIH2022;шорт;131500,00;1;132200,00;Выбило по стопу;10;15,3;-1071;103889,94
25.01.2022;RIH2022;шорт;129510,00;1;134700,00;Выбило по стопу;10;15,3;-7940,7;95949,24
25.01.2022;RIH2022;шорт;129510,00;1;134700,00;Выбило по стопу;10;15,3;-7940,7;88008,54
25.01.2022;RIH2022;шорт;129510,00;1;134700,00;Выбило по стопу;10;15,3;-7940,7;80067,84
25.01.2022;RIH2022;шорт;129510,00;1;134700,00;Выбило по стопу;10;15,3;-7940,7;72127,14
25.01.2022;BRG2022;шорт;88,50;1;89,50;Выбило по стопу;0,01;7,61;-760,95;71366,19
25.01.2022;BRG2022;шорт;88,50;1;89,50;Выбило по стопу;0,01;7,61;-760,95;70605,24
25.01.2022;BRG2022;шорт;88,50;1;89,50;Выбило по стопу;0,01;7,61;-760,95;69844,29
26.01.2022;RIH2022;шорт;133800,00;1;131220,00; Закрыл вручную;10;15,3;3947,4;73791,69
26.01.2022;RIH2022;шорт;133800,00;1;132100,00;Выбило по стопу;10;15,3;2601;76392,69
26.01.2022;RIH2022;шорт;133800,00;1;132100,00;Выбило по стопу;10;15,3;2601;78993,69
26.01.2022;BRG2022;шорт;90,30;1;89,30; Закрыл вручную;0,01;7,61;760,95;79754,64
26.01.2022;BRG2022;шорт;90,30;1;90,60;Выбило по стопу;0,01;7,61;-228,29;79526,35
26.01.2022;BRG2022;шорт;90,30;1;90,00;Выбило по стопу;0,01;7,61;228,29;79754,64
26.01.2022;RIH2022;шорт;133960,00;1;133700,00;Выбило по стопу;10;15,3;397,8;80152,44
26.01.2022;RIH2022;шорт;133960,00;1;133700,00;Выбило по стопу;10;15,3;397,8;80550,24
26.01.2022;RIH2022;шорт;133960,00;1;133700,00;Выбило по стопу;10;15,3;397,8;80948,04
26.01.2022;BRG2022;шорт;90,30;1;89,50;Выбило по стопу;0,01;7,61;608,76;81556,8
26.01.2022;BRG2022;шорт;90,30;1;89,50;Выбило по стопу;0,01;7,61;608,76;82165,56
26.01.2022;BRG2022;шорт;90,30;1;89,50;Выбило по стопу;0,01;7,61;608,76;82774,32
26.01.2022;RIH2022;шорт;133410,00;1;131640,00; Закрыл вручную;10;15,3;2708,1;85482,42
26.01.2022;RIH2022;шорт;133410,00;1;131200,00;Выбило по стопу;10;15,3;3381,3;88863,72
26.01.2022;RIH2022;шорт;133410,00;1;131860,00; Закрыл вручную;10;15,3;2371,5;91235,22
26.01.2022;SFH2022;шорт;432,18;5;430,15; Закрыл вручную;0,01;0,8;809,92;92045,14
26.01.2022;SFH2022;шорт;432,18;5;430,15; Закрыл вручную;0,01;0,8;809,92;92855,06
26.01.2022;RIH2022;шорт;131490,00;1;131450,00; Закрыл вручную;10;15,3;61,2;92916,26
26.01.2022;RIH2022;шорт;131490,00;1;131450,00; Закрыл вручную;10;15,3;61,2;92977,46
